Movie_Title,Year,Director,Rating,Runtime(Mins),Censor,Total_Gross,main_genre
Kantara,2022,Rishab Shetty,9.3,148,UA,$340.23M,Action
The Dark Knight,2008,Christopher Nolan,9,152,UA,$534.86M,Action
The Lord of the Rings: The Return of the King,2003,Peter Jackson,9,201,U,$377.85M,Action
Inception,2010,Christopher Nolan,8.8,148,UA,$292.58M,Action
The Lord of the Rings: The Two Towers,2002,Peter Jackson,8.8,179,UA,$342.55M,Action
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,8.8,178,U,$315.54M,Action
The Matrix,1999,"Directors:Lana Wachowski, Lilly Wachowski",8.7,136,A,$171.48M,Action
The Empire Strikes Back,1980,Irvin Kershner,8.7,124,UA,$290.48M,Action
Terminator 2: Judgment Day,1991,James Cameron,8.6,137,A,$204.84M,Action
Star Wars,1977,George Lucas,8.6,121,U,$322.74M,Action
Seppuku,1962,Masaki Kobayashi,8.6,133,B,$340.23M,Action
Shichinin no samurai,1954,Akira Kurosawa,8.6,207,U,$0.27M,Action
Kaithi,2019,Lokesh Kanagaraj,8.5,145,UA,$340.23M,Action
Asuran,2019,Vetrimaaran,8.5,141,UA,$340.23M,Action
Sita Ramam,2022,Hanu Raghavapudi,8.5,163,U,$340.23M,Action
Gladiator,2000,Ridley Scott,8.5,155,UA,$187.71M,Action
Léon,1994,Luc Besson,8.5,110,A,$19.50M,Action
Vikram,2022,Lokesh Kanagaraj,8.4,175,UA,$340.23M,Action
Spider-Man: Into the Spider-Verse,2018,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman",8.4,117,U,$190.24M,Animation
Avengers: Endgame,2019,"Directors:Anthony Russo, Joe Russo",8.4,181,UA,$858.37M,Action
Avengers: Infinity War,2018,"Directors:Anthony Russo, Joe Russo",8.4,149,UA,$678.82M,Action
Top Gun: Maverick,2022,Joseph Kosinski,8.4,130,UA,$340.23M,Action
The Dark Knight Rises,2012,Christopher Nolan,8.4,164,UA,$448.14M,Action
K.G.F: Chapter 2,2022,Prashanth Neel,8.4,168,UA,$340.23M,Action
Shershaah,2021,Vishnuvardhan,8.4,135,UA,$340.23M,Action
Oldeuboi,2003,Park Chan-wook,8.4,101,A,$0.71M,Action
Mononoke-hime,1997,Hayao Miyazaki,8.4,134,U,$2.38M,Animation
Aliens,1986,James Cameron,8.4,137,U,$85.16M,Action
Raiders of the Lost Ark,1981,Steven Spielberg,8.4,115,A,$248.16M,Action
Vikram Vedha,2017,"Directors:Gayatri, Pushkar, Gowtham Selvaraj",8.3,147,UA,$340.23M,Action
Dangal,2016,Nitesh Tiwari,8.3,161,U,$12.39M,Action
Spider-Man: No Way Home,2021,Jon Watts,8.3,148,UA,$804.75M,Action
Heat,1995,Michael Mann,8.3,170,A,$67.44M,Action
Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,8.3,131,U,$309.13M,Action
North by Northwest,1959,Alfred Hitchcock,8.3,136,U,$13.28M,Action
Major,2022,Sashi Kiran Tikka,8.2,150,UA,$340.23M,Action
1917,2019,Sam Mendes,8.2,119,R,$159.23M,Action
Uri: The Surgical Strike,2019,Aditya Dhar,8.2,138,UA,$4.19M,Action
K.G.F: Chapter 1,2018,Prashanth Neel,8.2,156,UA,$340.23M,Action
Dag II,2016,Alper Caglar,8.2,135,B,$340.23M,Action
Baahubali 2: The Conclusion,2017,S.S. Rajamouli,8.2,167,UA,$20.19M,Action
Gangs of Wasseypur,2012,Anurag Kashyap,8.2,321,A,$340.23M,Action
Paan Singh Tomar,2012,Tigmanshu Dhulia,8.2,135,UA,$0.04M,Action
Warrior,2011,Gavin O'Connor,8.2,140,UA,$13.66M,Action
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,Haruo Sotozaki,8.2,117,UA,$47.70M,Animation
V for Vendetta,2005,James McTeigue,8.2,132,UA,$70.51M,Action
Batman Begins,2005,Christopher Nolan,8.2,140,UA,$206.85M,Action
Kill Bill: Vol. 1,2003,Quentin Tarantino,8.2,111,A,$70.10M,Action
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,8.2,107,A,$3.90M,Action
Jurassic Park,1993,Steven Spielberg,8.2,127,UA,$402.45M,Action
Indiana Jones and the Last Crusade,1989,Steven Spielberg,8.2,127,U,$197.17M,Action
Die Hard,1988,John McTiernan,8.2,132,A,$83.01M,Action
Ran,1985,Akira Kurosawa,8.2,162,U,$4.14M,Action
Yôjinbô,1961,Akira Kurosawa,8.2,110,U,$340.23M,Action
The General,1926,"Directors:Clyde Bruckman, Buster Keaton",8.2,67,B,$1.03M,Action
Sherlock Jr.,1924,Buster Keaton,8.2,45,B,$0.98M,Action
Everything Everywhere All at Once,2022,"Directors:Dan Kwan, Daniel Scheinert",8.1,139,A,$340.23M,Action
Bajrangi Bhaijaan,2015,Kabir Khan,8.1,163,UA,$8.18M,Action
Logan,2017,James Mangold,8.1,137,A,$226.28M,Action
Rush,2013,Ron Howard,8.1,123,R,$26.95M,Action
Ford v Ferrari,2019,James Mangold,8.1,152,UA,$117.62M,Action
Mad Max: Fury Road,2015,George Miller,8.1,120,UA,$154.06M,Action
A Wednesday,2008,Neeraj Pandey,8.1,104,UA,$340.23M,Action
How to Train Your Dragon,2010,"Directors:Dean DeBlois, Chris Sanders",8.1,98,U,$217.58M,Animation
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,8.1,143,UA,$305.41M,Action
Hera Pheri,2000,Priyadarshan,8.1,156,U,$340.23M,Action
Sarfarosh,1999,John Mathew Matthan,8.1,174,A,$340.23M,Action
The Iron Giant,1999,Brad Bird,8.1,86,U,$23.16M,Animation
The Terminator,1984,James Cameron,8.1,107,UA,$38.40M,Action
Blade Runner,1982,Ridley Scott,8.1,117,UA,$32.87M,Action
Sholay,1975,Ramesh Sippy,8.1,204,U,$340.23M,Action
Kakushi-toride no san-akunin,1958,Akira Kurosawa,8.1,139,B,$340.23M,Action
White Heat,1949,Raoul Walsh,8.1,114,B,$340.23M,Action
RRR (Rise Roar Revolt),2022,S.S. Rajamouli,8,187,UA,$340.23M,Action
Arjun Reddy,2017,Sandeep Reddy Vanga,8,182,A,$340.23M,Action
Kaththi,2014,A.R. Murugadoss,8,166,U,$340.23M,Action
Haider,2014,Vishal Bhardwaj,8,160,UA,$0.90M,Action
Bãhubali: The Beginning,2015,S.S. Rajamouli,8,159,UA,$6.74M,Action
1 - Nenokkadine,2014,Sukumar,8,170,UA,$340.23M,Action
Thuppakki,2012,A.R. Murugadoss,8,165,U,$340.23M,Action
Guardians of the Galaxy,2014,James Gunn,8,121,UA,$333.18M,Action
Blade Runner 2049,2017,Denis Villeneuve,8,164,UA,$92.05M,Action
The Revenant,2015,Alejandro G. Iñárritu,8,156,A,$183.64M,Action
Tropa de Elite 2: O Inimigo Agora é Outro,2010,José Padilha,8,115,B,$0.10M,Action
Deadpool,2016,Tim Miller,8,108,R,$363.07M,Action
Karthikeya 2,2022,Chandoo Mondeti,8,150,UA,$340.23M,Action
Zack Snyder's Justice League,2021,Zack Snyder,8,242,18,$340.23M,Action
Ip Man,2008,Wilson Yip,8,106,R,$340.23M,Action
Nefes: Vatan Sagolsun,2009,Levent Semerci,8,128,B,$340.23M,Action
Dune: Part One,2021,Denis Villeneuve,8,155,UA,$108.33M,Action
Tropa de Elite,2007,José Padilha,8,115,R,$0.01M,Action
The Avengers,2012,Joss Whedon,8,143,UA,$623.28M,Action
The Bourne Ultimatum,2007,Paul Greengrass,8,115,UA,$227.47M,Action
Taegukgi hwinalrimyeo,2004,Je-kyu Kang,8,140,R,$1.11M,Action
Casino Royale,2006,Martin Campbell,8,144,UA,$167.45M,Action
Kill Bill: Vol. 2,2004,Quentin Tarantino,8,137,A,$66.21M,Action
Mou gaan dou,2002,"Directors:Andrew Lau, Alan Mak",8,101,UA,$0.17M,Action
The Incredibles,2004,Brad Bird,8,115,U,$261.44M,Animation
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,"Directors:Hideaki Anno, Kazuya Tsurumaki",8,87,B,$340.23M,Animation
Andaz Apna Apna,1994,Rajkumar Santoshi,8,160,U,$340.23M,Action
Akira,1988,Katsuhiro _tomo,8,124,UA,$0.55M,Animation
Sanjuro,1962,Akira Kurosawa,8,96,U,$340.23M,Action
Minnal Murali,2021,Basil Joseph,7.9,158,UA 16+,$340.23M,Action
Airlift,2016,Raja Menon,7.9,130,UA,$340.23M,Action
Baby,2015,Neeraj Pandey,7.9,159,UA,$340.23M,Action
Thor: Ragnarok,2017,Taika Waititi,7.9,130,UA,$315.06M,Action
Serbuan maut 2: Berandal,2014,Gareth Evans,7.9,150,A,$2.63M,Action
Vishwaroopam,2013,Kamal Haasan,7.9,148,UA,$340.23M,Action
X-Men: Days of Future Past,2014,Bryan Singer,7.9,132,UA,$233.92M,Action
The Batman,2022,Matt Reeves,7.9,176,UA,$340.23M,Action
Edge of Tomorrow,2014,Doug Liman,7.9,113,UA,$100.21M,Action
District 9,2009,Neill Blomkamp,7.9,112,A,$115.65M,Action
Star Trek,2009,J.J. Abrams,7.9,127,UA,$257.73M,Action
Letters from Iwo Jima,2006,Clint Eastwood,7.9,141,UA,$13.76M,Action
Iron Man,2008,Jon Favreau,7.9,126,UA,$318.41M,Action
Ying xiong,2002,Yimou Zhang,7.9,120,UA,$53.71M,Action
The Bourne Identity,2002,Doug Liman,7.9,119,UA,$121.66M,Action
Children of Men,2006,Alfonso Cuarón,7.9,109,A,$35.55M,Action
Wo hu cang long,2000,Ang Lee,7.9,120,UA,$128.08M,Action
Knockin' on Heaven's Door,1997,Thomas Jahn,7.9,87,B,$0.00M,Action
Kôkaku Kidôtai,1995,Mamoru Oshii,7.9,83,UA,$0.52M,Animation
The Blues Brothers,1980,John Landis,7.9,133,U,$57.23M,Action
The Wild Bunch,1969,Sam Peckinpah,7.9,145,A,$12.06M,Action
Per un pugno di dollari,1964,Sergio Leone,7.9,99,A,$14.50M,Action
The Adventures of Robin Hood,1938,"Directors:Michael Curtiz, William Keighley",7.9,102,PG,$3.98M,Action
The Gentlemen,2019,Guy Ritchie,7.8,113,A,$36.47M,Action
Doragon bôru chô: Burorî,2018,Tatsuya Nagamine,7.8,100,UA,$30.71M,Animation
Dunkirk,2017,Christopher Nolan,7.8,106,UA,$188.37M,Action
Rogue One,2016,Gareth Edwards,7.8,133,UA,$532.18M,Action
Captain America: Civil War,2016,"Directors:Anthony Russo, Joe Russo",7.8,147,UA,$408.08M,Action
Star Wars: Episode VII - The Force Awakens,2015,J.J. Abrams,7.8,138,U,$936.66M,Action
Big Hero 6,2014,"Directors:Don Hall, Chris Williams",7.8,102,U,$222.53M,Animation
Captain America: The Winter Soldier,2014,"Directors:Anthony Russo, Joe Russo",7.8,136,UA,$259.77M,Action
How to Train Your Dragon 2,2014,Dean DeBlois,7.8,102,U,$177.00M,Animation
Ang-ma-reul bo-at-da,2010,Jee-woon Kim,7.8,144,B,$0.13M,Action
Captain Phillips,2013,Paul Greengrass,7.8,134,UA,$107.10M,Action
Thirteen Lives,2022,Ron Howard,7.8,147,UA 16+,$340.23M,Action
Chugyeokja,2008,Na Hong-jin,7.8,125,B,$340.23M,Action
Skyfall,2012,Sam Mendes,7.8,143,UA,$304.36M,Action
The Fighter,2010,David O. Russell,7.8,116,UA,$93.62M,Action
Taken,2008,Pierre Morel,7.8,90,A,$145.00M,Action
Drive,2011,Nicolas Winding Refn,7.8,100,A,$35.06M,Action
Avatar,2009,James Cameron,7.8,162,UA,$760.51M,Action
Apocalypto,2006,Mel Gibson,7.8,139,A,$50.87M,Action
Hot Fuzz,2007,Edgar Wright,7.8,121,A,$23.64M,Action
Serenity,2005,Joss Whedon,7.8,119,PG-13,$25.51M,Action
The Last Samurai,2003,Edward Zwick,7.8,154,UA,$111.11M,Action
Cowboy Bebop: Tengoku no tobira,2001,"Directors:Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura, Yoshiyuki Takei",7.8,115,U,$1.00M,Animation
Gongdong gyeongbi guyeok JSA,2000,Park Chan-wook,7.8,110,B,$340.23M,Action
Jûbê ninpûchô,1993,Yoshiaki Kawajiri,7.8,94,A,$340.23M,Animation
The Fugitive,1993,Andrew Davis,7.8,130,U,$183.88M,Action
Batman: Mask of the Phantasm,1993,"Directors:Kevin Altieri, Boyd Kirkland, Frank Paur, Dan Riba, Eric Radomski, Bruce Timm",7.8,76,PG,$5.62M,Animation
Dip huet seung hung,1989,John Woo,7.8,111,R,$340.23M,Action
Predator,1987,John McTiernan,7.8,107,A,$59.74M,Action
Ghostbusters,1984,Ivan Reitman,7.8,105,UA,$238.63M,Action
"Aguirre, der Zorn Gottes",1972,Werner Herzog,7.8,95,B,$340.23M,Action
Raazi,2018,Meghna Gulzar,7.7,138,UA,$340.23M,Action
Deadpool 2,2018,David Leitch,7.7,119,R,$324.59M,Action
Mission: Impossible - Fallout,2018,Christopher McQuarrie,7.7,147,U/A,$220.16M,Action
Udta Punjab,2016,Abhishek Chaubey,7.7,148,A,$340.23M,Action
Kubo and the Two Strings,2016,Travis Knight,7.7,101,U,$48.02M,Animation
Kingsman: The Secret Service,2014,Matthew Vaughn,7.7,129,A,$128.26M,Action
Ajeossi,2010,Jeong-beom Lee,7.7,119,7,$0.01M,Action
The Lego Movie,2014,"Directors:Phil Lord, Christopher Miller",7.7,100,U,$257.76M,Animation
Star Trek Into Darkness,2013,J.J. Abrams,7.7,132,UA,$228.78M,Action
X: First Class,2011,Matthew Vaughn,7.7,131,UA,$146.41M,Action
3:10 to Yuma,2007,James Mangold,7.7,122,A,$53.61M,Action
Kung fu,2004,Stephen Chow,7.7,99,UA,$17.11M,Action
The Bourne Supremacy,2004,Paul Greengrass,7.7,108,A,$176.24M,Action
Man on Fire,2004,Tony Scott,7.7,146,UA,$77.91M,Action
Black Hawk Down,2001,Ridley Scott,7.7,144,A,$108.64M,Action
The Count of Monte Cristo,2002,Kevin Reynolds,7.7,131,UA,$54.23M,Action
Minority Report,2002,Steven Spielberg,7.7,145,A,$132.07M,Action
The Boondock Saints,1999,Troy Duffy,7.7,108,A,$0.03M,Action
Training Day,2001,Antoine Fuqua,7.7,122,A,$76.63M,Action
Lola rennt,1998,Tom Tykwer,7.7,81,UA,$7.27M,Action
The Last of the Mohicans,1992,Michael Mann,7.7,112,UA,$75.51M,Action
Lat sau san taam,1992,John Woo,7.7,128,A,$340.23M,Action
Star Trek II: The Wrath of Khan,1982,Nicholas Meyer,7.7,113,U,$78.91M,Action
First Blood,1982,Ted Kotcheff,7.7,93,A,$47.21M,Action
Badlands,1973,Terrence Malick,7.7,94,B,$340.23M,Action
The French Connection,1971,William Friedkin,7.7,104,A,$15.63M,Action
Dirty Harry,1971,"Directors:Don Siegel, Clint Eastwood",7.7,102,A,$35.90M,Action
The Dirty Dozen,1967,Robert Aldrich,7.7,150,U,$45.30M,Action
Bonnie and Clyde,1967,Arthur Penn,7.7,111,A,$340.23M,Action
Goldfinger,1964,Guy Hamilton,7.7,110,A,$51.08M,Action
The Longest Day,1962,"Directors:Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck",7.7,178,U,$39.10M,Action
The Magnificent Seven,1960,John Sturges,7.7,128,B,$4.91M,Action
Key Largo,1948,John Huston,7.7,100,B,$340.23M,Action
Scarface,1932,"Directors:Howard Hawks, Richard Rosson",7.7,93,B,$340.23M,Action
Pushpa: The Rise - Part 1,2021,Sukumar,7.6,179,UA,$340.23M,Action
_lümlü Dünya,2018,Ali Atay,7.6,107,B,$340.23M,Action
Ludo,2020,Anurag Basu,7.6,149,16,$340.23M,Action
Busanhaeng,2016,Sang-ho Yeon,7.6,118,A,$2.13M,Action
Hotel Mumbai,2018,Anthony Maras,7.6,123,A,$9.65M,Action
Guardians of the Galaxy Vol. 2,2017,James Gunn,7.6,136,UA,$389.81M,Action
Baby Driver,2017,Edgar Wright,7.6,113,UA,$107.83M,Action
Only the Brave,2017,Joseph Kosinski,7.6,134,UA,$18.34M,Action
Incredibles 2,2018,Brad Bird,7.6,118,UA,$608.58M,Animation
Sicario,2015,Denis Villeneuve,7.6,121,A,$46.89M,Action
Creed,2015,Ryan Coogler,7.6,133,UA,$109.77M,Action
Dawn of the Planet of the Apes,2014,Matt Reeves,7.6,130,UA,$208.55M,Action
El cuerpo,2012,Oriol Paulo,7.6,112,B,$340.23M,Action
Serbuan maut,2011,Gareth Evans,7.6,101,A,$4.11M,Action
End of Watch,2012,David Ayer,7.6,109,A,$41.00M,Action
Rise of the Planet of the Apes,2011,Rupert Wyatt,7.6,105,UA,$176.76M,Action
Kick-Ass,2010,Matthew Vaughn,7.6,117,UA,$48.07M,Action
Celda 211,2009,Daniel Monzón,7.6,113,A,$340.23M,Action
Zombieland,2009,Ruben Fleischer,7.6,88,A,$75.59M,Action
Sherlock Holmes,2009,Guy Ritchie,7.6,128,16,$209.03M,Action
United 93,2006,Paul Greengrass,7.6,111,UA,$31.57M,Action
Huo Yuan Jia,2006,Ronny Yu,7.6,104,PG-13,$24.63M,Action
Kung Fu Panda,2008,"Directors:Mark Osborne, John Stevenson",7.6,92,U,$215.43M,Animation
Harry Potter and the Half-Blood Prince,2009,David Yates,7.6,153,UA,$301.96M,Action
300,2006,Zack Snyder,7.6,117,A,$210.61M,Action
Watchmen,2009,Zack Snyder,7.6,162,A,$107.51M,Action
Batoru rowaiaru,2000,Kinji Fukasaku,7.6,114,18,$340.23M,Action
Vampire Hunter D: Bloodlust,2000,"Directors:Jack Fletcher, Yoshiaki Kawajiri",7.6,103,U,$0.15M,Animation
Enemy at the Gates,2001,Jean-Jacques Annaud,7.6,131,A,$51.40M,Action
Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,7.6,140,U,$380.26M,Action
The Fifth Element,1997,Luc Besson,7.6,126,UA,$63.54M,Action
Star Trek: First Contact,1996,Jonathan Frakes,7.6,111,PG-13,$92.00M,Action
Die Hard: With a Vengeance,1995,John McTiernan,7.6,128,A,$100.01M,Action
Falling Down,1993,Joel Schumacher,7.6,113,UA,$40.90M,Action
RoboCop,1987,Paul Verhoeven,7.6,102,UA,$53.42M,Action
Lethal Weapon,1987,Richard Donner,7.6,109,UA,$65.21M,Action
Mad Max 2,1981,George Miller,7.6,96,UA,$12.47M,Action
Rupan sansei: Kariosutoro no shiro,1979,Hayao Miyazaki,7.6,100,U,$340.23M,Animation
Escape from Alcatraz,1979,Don Siegel,7.6,112,U,$43.00M,Action
The Taking of Pelham One Two Three,1974,Joseph Sargent,7.6,104,U,$2.49M,Action
Enter the Dragon,1973,Robert Clouse,7.6,102,A,$25.00M,Action
Where Eagles Dare,1968,Brian G. Hutton,7.6,158,U,$340.23M,Action
Tanhaji: The Unsung Warrior,2020,Om Raut,7.5,135,UA,$340.23M,Action
Upgrade,2018,Leigh Whannell,7.5,100,18,$11.98M,Action
Mersal,2017,Atlee,7.5,172,UA,$340.23M,Action
Fury,2014,David Ayer,7.5,134,A,$85.82M,Action
The Hunger Games: Catching Fire,2013,Francis Lawrence,7.5,146,UA,$424.67M,Action
Delhi Belly,2011,"Directors:Abhinay Deo, Akshat Verma",7.5,103,A,$1.53M,Action
Waar,2013,Bilal Lashari,7.5,130,B,$340.23M,Action
Hodejegerne,2011,Morten Tyldum,7.5,100,R,$1.20M,Action
Jûsan-nin no shikaku,2010,Takashi Miike,7.5,141,R,$0.80M,Action
Yip Man 2,2010,Wilson Yip,7.5,108,R,$0.21M,Action
L'instinct de mort,2008,Jean-François Richet,7.5,113,R,$0.55M,Action
Doctor Strange,2016,Scott Derrickson,7.5,115,UA,$232.64M,Action
Retfærdighedens ryttere,2020,Anders Thomas Jensen,7.5,116,B,$340.23M,Action
Lone Survivor,2013,Peter Berg,7.5,121,A,$125.10M,Action
Source Code,2011,Duncan Jones,7.5,93,UA,$54.71M,Action
